"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Республика Коми","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11140
"Республика Коми","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",3706
"Республика Коми","3_2","Количество нарушителей правил дорожного движения - водителей",104424
"Республика Коми","3_2","Количество нарушителей правил дорожного движения - пешеходов",10751
"Республика Коми","3_2","Количество нарушителей правил дорожного движения - пассажиров",3622
"Республика Коми","3_2","Количество нарушителей правил дорожного движения всего",229193
"Архангельская обл. (с АО )","3_2","Наличие автомобильного транспорта всего",494253
"Архангельская обл. (с АО )","3_2","Наличие легковых автомобилей",358621
"Архангельская обл. (с АО )","3_2","Наличие грузовых автомобилей",46372
"Архангельская обл. (с АО )","3_2","Наличие автобусов",4807
"Архангельская обл. (с АО )","3_2","Возбуждено дел об административных правонарушениях всего",609537
"Архангельская обл. (с АО )","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",140269
"Архангельская обл. (с АО )","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",14089
"Архангельская обл. (с АО )","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1081
"Архангельская обл. (с АО )","3_2","Количество нарушителей правил дорожного движения - водителей",77720
"Архангельская обл. (с АО )","3_2","Количество нарушителей правил дорожного движения - пешеходов",14029
"Архангельская обл. (с АО )","3_2","Количество нарушителей правил дорожного движения - пассажиров",1073
"Архангельская обл. (с АО )","3_2","Количество нарушителей правил дорожного движения всего",223117
"  Архангельская обл. (без а/о)","3_2","Наличие автомобильного транспорта всего",476688
"  Архангельская обл. (без а/о)","3_2","Наличие легковых автомобилей",345198
"  Архангельская обл. (без а/о)","3_2","Наличие грузовых автомобилей",44165
"  Архангельская обл. (без а/о)","3_2","Наличие автобусов",4543
"  Архангельская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях всего",590800
"  Архангельская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",134404
"  Архангельская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",14057
"  Архангельская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1051
"  Архангельская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - водителей",72012
"  Архангельская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - пешеходов",13998
"  Архангельская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - пассажиров",1043
"  Архангельская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения всего",205125
"  Ненецкий АО","3_2","Наличие автомобильного транспорта всего",17565
"  Ненецкий АО","3_2","Наличие легковых автомобилей",13423
