"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"г. Севастополь","3_2","Наличие автомобильного транспорта всего",166678
"г. Севастополь","3_2","Наличие легковых автомобилей",148794
"г. Севастополь","3_2","Наличие грузовых автомобилей",10223
"г. Севастополь","3_2","Наличие автобусов",2273
"г. Севастополь","3_2","Возбуждено дел об административных правонарушениях всего",1093698
"г. Севастополь","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",24700
"г. Севастополь","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",780
"г. Севастополь","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",18
"г. Севастополь","3_2","Количество нарушителей правил дорожного движения - водителей",24112
"г. Севастополь","3_2","Количество нарушителей правил дорожного движения - пешеходов",780
"г. Севастополь","3_2","Количество нарушителей правил дорожного движения - пассажиров",17
"г. Севастополь","3_2","Количество нарушителей правил дорожного движения всего",305648
"Приволжский фед.округ","3_2","Наличие автомобильного транспорта всего",12861779
"Приволжский фед.округ","3_2","Наличие легковых автомобилей",10204415
"Приволжский фед.округ","3_2","Наличие грузовых автомобилей",1235713
"Приволжский фед.округ","3_2","Наличие автобусов",168256
"Приволжский фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",32366975
"Приволжский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",3974141
"Приволжский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",284320
"Приволжский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",61000
"Приволжский фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",2600145
"Приволжский фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",275397
"Приволжский фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",58745
"Приволжский фед.округ","3_2","Количество нарушителей правил дорожного движения всего",12959900
"Республика Башкортостан","3_2","Наличие автомобильного транспорта всего",1897390
"Республика Башкортостан","3_2","Наличие легковых автомобилей",1595691
"Республика Башкортостан","3_2","Наличие грузовых автомобилей",153792
"Республика Башкортостан","3_2","Наличие автобусов",21180
"Республика Башкортостан","3_2","Возбуждено дел об административных правонарушениях всего",4162315
"Республика Башкортостан","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",728329
"Республика Башкортостан","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",19709
"Республика Башкортостан","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2725
"Республика Башкортостан","3_2","Количество нарушителей правил дорожного движения - водителей",372663
"Республика Башкортостан","3_2","Количество нарушителей правил дорожного движения - пешеходов",18423
"Республика Башкортостан","3_2","Количество нарушителей правил дорожного движения - пассажиров",2652
"Республика Башкортостан","3_2","Количество нарушителей правил дорожного движения всего",1261331
"Республика Марий Эл","3_2","Наличие автомобильного транспорта всего",254651
"Республика Марий Эл","3_2","Наличие легковых автомобилей",180780
"Республика Марий Эл","3_2","Наличие грузовых автомобилей",24086
"Республика Марий Эл","3_2","Наличие автобусов",3030
"Республика Марий Эл","3_2","Возбуждено дел об административных правонарушениях всего",564833
"Республика Марий Эл","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",81747
"Республика Марий Эл","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",6233
"Республика Марий Эл","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",923
"Республика Марий Эл","3_2","Количество нарушителей правил дорожного движения - водителей",45132
"Республика Марий Эл","3_2","Количество нарушителей правил дорожного движения - пешеходов",5978
"Республика Марий Эл","3_2","Количество нарушителей правил дорожного движения - пассажиров",890
"Республика Марий Эл","3_2","Количество нарушителей правил дорожного движения всего",229176
"Республика Мордовия","3_2","Наличие автомобильного транспорта всего",345986
"Республика Мордовия","3_2","Наличие легковых автомобилей",276495
"Республика Мордовия","3_2","Наличие грузовых автомобилей",25357
"Республика Мордовия","3_2","Наличие автобусов",5382
"Республика Мордовия","3_2","Возбуждено дел об административных правонарушениях всего",429379
"Республика Мордовия","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",75158
"Республика Мордовия","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",3680
"Республика Мордовия","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",145
"Республика Мордовия","3_2","Количество нарушителей правил дорожного движения - водителей",41692
"Республика Мордовия","3_2","Количество нарушителей правил дорожного движения - пешеходов",3632
"Республика Мордовия","3_2","Количество нарушителей правил дорожного движения - пассажиров",145
"Республика Мордовия","3_2","Количество нарушителей правил дорожного движения всего",175621
"Республика Татарстан","3_2","Наличие автомобильного транспорта всего",1475337
"Республика Татарстан","3_2","Наличие легковых автомобилей",1202176
"Республика Татарстан","3_2","Наличие грузовых автомобилей",137562
"Республика Татарстан","3_2","Наличие автобусов",16671
"Республика Татарстан","3_2","Возбуждено дел об административных правонарушениях всего",9005602
"Республика Татарстан","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",846027
"Республика Татарстан","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",46229
"Республика Татарстан","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",38066
"Республика Татарстан","3_2","Количество нарушителей правил дорожного движения - водителей",428462
"Республика Татарстан","3_2","Количество нарушителей правил дорожного движения - пешеходов",45523
"Республика Татарстан","3_2","Количество нарушителей правил дорожного движения - пассажиров",36095
"Республика Татарстан","3_2","Количество нарушителей правил дорожного движения всего",1606747
"Удмуртская Республика","3_2","Наличие автомобильного транспорта всего",614529
"Удмуртская Республика","3_2","Наличие легковых автомобилей",468316
"Удмуртская Республика","3_2","Наличие грузовых автомобилей",58447
"Удмуртская Республика","3_2","Наличие автобусов",4700
"Удмуртская Республика","3_2","Возбуждено дел об административных правонарушениях всего",1336005
"Удмуртская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",154056
"Удмуртская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11956
"Удмуртская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",4432
"Удмуртская Республика","3_2","Количество нарушителей правил дорожного движения - водителей",151748
"Удмуртская Республика","3_2","Количество нарушителей правил дорожного движения - пешеходов",11926
"Удмуртская Республика","3_2","Количество нарушителей правил дорожного движения - пассажиров",4418
"Удмуртская Республика","3_2","Количество нарушителей правил дорожного движения всего",1333404
"Чувашская Республика","3_2","Наличие автомобильного транспорта всего",365182
"Чувашская Республика","3_2","Наличие легковых автомобилей",296801
"Чувашская Республика","3_2","Наличие грузовых автомобилей",41805
"Чувашская Республика","3_2","Наличие автобусов",5090
"Чувашская Республика","3_2","Возбуждено дел об административных правонарушениях всего",1179960
"Чувашская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",144576
"Чувашская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11853
"Чувашская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",3407
"Чувашская Республика","3_2","Количество нарушителей правил дорожного движения - водителей",142805
"Чувашская Республика","3_2","Количество нарушителей правил дорожного движения - пешеходов",11723
"Чувашская Республика","3_2","Количество нарушителей правил дорожного движения - пассажиров",3404
"Чувашская Республика","3_2","Количество нарушителей правил дорожного движения всего",422035
"Кировская область","3_2","Наличие автомобильного транспорта всего",511924
"Кировская область","3_2","Наличие легковых автомобилей",369146
"Кировская область","3_2","Наличие грузовых автомобилей",50524
"Кировская область","3_2","Наличие автобусов",3294
"Кировская область","3_2","Возбуждено дел об административных правонарушениях всего",393794
"Кировская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",109674
"Кировская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11990
"Кировская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",477
"Кировская область","3_2","Количество нарушителей правил дорожного движения - водителей",98782
"Кировская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",11825
"Кировская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",470
"Кировская область","3_2","Количество нарушителей правил дорожного движения всего",225517
"Нижегородская область","3_2","Наличие автомобильного транспорта всего",1609504
"Нижегородская область","3_2","Наличие легковых автомобилей",1358384
"Нижегородская область","3_2","Наличие грузовых автомобилей",137839
"Нижегородская область","3_2","Наличие автобусов",21896
"Нижегородская область","3_2","Возбуждено дел об административных правонарушениях всего",2216922
"Нижегородская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",300244
"Нижегородская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",12867
"Нижегородская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1421
"Нижегородская область","3_2","Количество нарушителей правил дорожного движения - водителей",186347
"Нижегородская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",12436
"Нижегородская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1405
"Нижегородская область","3_2","Количество нарушителей правил дорожного движения всего",794404
"Оренбургская область","3_2","Наличие автомобильного транспорта всего",1061577
"Оренбургская область","3_2","Наличие легковых автомобилей",798508
"Оренбургская область","3_2","Наличие грузовых автомобилей",132143
"Оренбургская область","3_2","Наличие автобусов",16315
"Оренбургская область","3_2","Возбуждено дел об административных правонарушениях всего",2001879
"Оренбургская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",265327
"Оренбургская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",36873
"Оренбургская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2007
"Оренбургская область","3_2","Количество нарушителей правил дорожного движения - водителей",261510
"Оренбургская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",36529
"Оренбургская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2002
"Оренбургская область","3_2","Количество нарушителей правил дорожного движения всего",1995512
"Пензенская область","3_2","Наличие автомобильного транспорта всего",529534
"Пензенская область","3_2","Наличие легковых автомобилей",441737
"Пензенская область","3_2","Наличие грузовых автомобилей",32556
"Пензенская область","3_2","Наличие автобусов",5573
"Пензенская область","3_2","Возбуждено дел об административных правонарушениях всего",1499612
"Пензенская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",197319
"Пензенская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",27937
"Пензенская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",929
"Пензенская область","3_2","Количество нарушителей правил дорожного движения - водителей",192653
"Пензенская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",27686
"Пензенская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",927
"Пензенская область","3_2","Количество нарушителей правил дорожного движения всего",1482967
"Пермский край","3_2","Наличие автомобильного транспорта всего",1305395
"Пермский край","3_2","Наличие легковых автомобилей",922359
"Пермский край","3_2","Наличие грузовых автомобилей",171851
"Пермский край","3_2","Наличие автобусов",16903
"Пермский край","3_2","Возбуждено дел об административных правонарушениях всего",1346084
"Пермский край","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",359995
"Пермский край","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",40229
"Пермский край","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1492
"Пермский край","3_2","Количество нарушителей правил дорожного движения - водителей",187233
"Пермский край","3_2","Количество нарушителей правил дорожного движения - пешеходов",38276
"Пермский край","3_2","Количество нарушителей правил дорожного движения - пассажиров",1477
"Пермский край","3_2","Количество нарушителей правил дорожного движения всего",527761
"Самарская область","3_2","Наличие автомобильного транспорта всего",1332417
"Самарская область","3_2","Наличие легковых автомобилей",1054364
"Самарская область","3_2","Наличие грузовых автомобилей",113421
"Самарская область","3_2","Наличие автобусов",29113
"Самарская область","3_2","Возбуждено дел об административных правонарушениях всего",4788093
"Самарская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",329296
"Самарская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",34858
"Самарская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",4163
"Самарская область","3_2","Количество нарушителей правил дорожного движения - водителей",286765
"Самарская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",33000
"Самарская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",4054
"Самарская область","3_2","Количество нарушителей правил дорожного движения всего",1926775
"Саратовская область","3_2","Наличие автомобильного транспорта всего",1066401
"Саратовская область","3_2","Наличие легковых автомобилей",843848
"Саратовская область","3_2","Наличие грузовых автомобилей",108687
"Саратовская область","3_2","Наличие автобусов",11416
"Саратовская область","3_2","Возбуждено дел об административных правонарушениях всего",1921750
"Саратовская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",251134
"Саратовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",7916
"Саратовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",530
"Саратовская область","3_2","Количество нарушителей правил дорожного движения - водителей",131585
"Саратовская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",7433
"Саратовская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",526
"Саратовская область","3_2","Количество нарушителей правил дорожного движения всего",549334
"Ульяновская область","3_2","Наличие автомобильного транспорта всего",491952
"Ульяновская область","3_2","Наличие легковых автомобилей",395810
"Ульяновская область","3_2","Наличие грузовых автомобилей",47643
"Ульяновская область","3_2","Наличие автобусов",7693
"Ульяновская область","3_2","Возбуждено дел об административных правонарушениях всего",1520747
"Ульяновская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",131259
"Ульяновская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11990
"Ульяновская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",283
"Ульяновская область","3_2","Количество нарушителей правил дорожного движения - водителей",72768
"Ульяновская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",11007
"Ульяновская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",280
"Ульяновская область","3_2","Количество нарушителей правил дорожного движения всего",429316
"Уральский фед.округ","3_2","Наличие автомобильного транспорта всего",6409863
"Уральский фед.округ","3_2","Наличие легковых автомобилей",4992578
"Уральский фед.округ","3_2","Наличие грузовых автомобилей",754063
"Уральский фед.округ","3_2","Наличие автобусов",94975
"Уральский фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",11268787
"Уральский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",2017639
"Уральский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",160542
"Уральский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",42456
"Уральский фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",1307499
"Уральский фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",152631
"Уральский фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",40597
"Уральский фед.округ","3_2","Количество нарушителей правил дорожного движения всего",4318228
"Курганская область","3_2","Наличие автомобильного транспорта всего",430606
"Курганская область","3_2","Наличие легковых автомобилей",321203
"Курганская область","3_2","Наличие грузовых автомобилей",48567
"Курганская область","3_2","Наличие автобусов",4646
"Курганская область","3_2","Возбуждено дел об административных правонарушениях всего",510787
"Курганская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",118482
"Курганская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",3412
"Курганская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",980
"Курганская область","3_2","Количество нарушителей правил дорожного движения - водителей",61046
"Курганская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",3334
"Курганская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",970
"Курганская область","3_2","Количество нарушителей правил дорожного движения всего",218847
"Свердловская область","3_2","Наличие автомобильного транспорта всего",2349122
"Свердловская область","3_2","Наличие легковых автомобилей",1930824
"Свердловская область","3_2","Наличие грузовых автомобилей",240785
"Свердловская область","3_2","Наличие автобусов",26187
"Свердловская область","3_2","Возбуждено дел об административных правонарушениях всего",5590595
"Свердловская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",693898
"Свердловская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",122250
"Свердловская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",23969
"Свердловская область","3_2","Количество нарушителей правил дорожного движения - водителей",575354
"Свердловская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",117596
"Свердловская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",23231
"Свердловская область","3_2","Количество нарушителей правил дорожного движения всего",2029797
"Тюменская область (с а/о)","3_2","Наличие автомобильного транспорта всего",1995680
"Тюменская область (с а/о)","3_2","Наличие легковых автомобилей",1458366
"Тюменская область (с а/о)","3_2","Наличие грузовых автомобилей",309752
"Тюменская область (с а/о)","3_2","Наличие автобусов",42255
"Тюменская область (с а/о)","3_2","Возбуждено дел об административных правонарушениях всего",3751460
"Тюменская область (с а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",804118
"Тюменская область (с а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",33610
"Тюменская область (с а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",17441
"Тюменская область (с а/о)","3_2","Количество нарушителей правил дорожного движения - водителей",451124
"Тюменская область (с а/о)","3_2","Количество нарушителей правил дорожного движения - пешеходов",30529
"Тюменская область (с а/о)","3_2","Количество нарушителей правил дорожного движения - пассажиров",16331
"Тюменская область (с а/о)","3_2","Количество нарушителей правил дорожного движения всего",1509298
"  Тюменская обл. (без а/о)","3_2","Наличие автомобильного транспорта всего",764218
"  Тюменская обл. (без а/о)","3_2","Наличие легковых автомобилей",580784
"  Тюменская обл. (без а/о)","3_2","Наличие грузовых автомобилей",98829
"  Тюменская обл. (без а/о)","3_2","Наличие автобусов",10414
"  Тюменская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях всего",1160243
"  Тюменская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",282019
"  Тюменская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",17234
"  Тюменская обл. (без а/о)","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",9389
"  Тюменская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - водителей",155236
"  Тюменская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - пешеходов",14653
"  Тюменская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения - пассажиров",8395
"  Тюменская обл. (без а/о)","3_2","Количество нарушителей правил дорожного движения всего",520388
"  Ханты-Мансийский АО - Югра","3_2","Наличие автомобильного транспорта всего",950330
"  Ханты-Мансийский АО - Югра","3_2","Наличие легковых автомобилей",684890
"  Ханты-Мансийский АО - Югра","3_2","Наличие грузовых автомобилей",158439
"  Ханты-Мансийский АО - Югра","3_2","Наличие автобусов",21294
"  Ханты-Мансийский АО - Югра","3_2","Возбуждено дел об административных правонарушениях всего",2182136
"  Ханты-Мансийский АО - Югра","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",407440
"  Ханты-Мансийский АО - Югра","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11568
"  Ханты-Мансийский АО - Югра","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",6950
"  Ханты-Мансийский АО - Югра","3_2","Количество нарушителей правил дорожного движения - водителей",188739
"  Ханты-Мансийский АО - Югра","3_2","Количество нарушителей правил дорожного движения - пешеходов",11167
"  Ханты-Мансийский АО - Югра","3_2","Количество нарушителей правил дорожного движения - пассажиров",6834
"  Ханты-Мансийский АО - Югра","3_2","Количество нарушителей правил дорожного движения всего",591819
"  Ямало-Ненецкий АО","3_2","Наличие автомобильного транспорта всего",281132
"  Ямало-Ненецкий АО","3_2","Наличие легковых автомобилей",192692
"  Ямало-Ненецкий АО","3_2","Наличие грузовых автомобилей",52484
"  Ямало-Ненецкий АО","3_2","Наличие автобусов",10547
"  Ямало-Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях всего",409081
"  Ямало-Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",114659
"  Ямало-Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",4808
"  Ямало-Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1102
"  Ямало-Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - водителей",107149
"  Ямало-Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - пешеходов",4709
"  Ямало-Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - пассажиров",1102
"  Ямало-Ненецкий АО","3_2","Количество нарушителей правил дорожного движения всего",397091
"Челябинская область","3_2","Наличие автомобильного транспорта всего",1634455
"Челябинская область","3_2","Наличие легковых автомобилей",1282185
"Челябинская область","3_2","Наличие грузовых автомобилей",154959
"Челябинская область","3_2","Наличие автобусов",21887
"Челябинская область","3_2","Возбуждено дел об административных правонарушениях всего",1415945
"Челябинская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",401141
"Челябинская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",1270
"Челябинская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",66
"Челябинская область","3_2","Количество нарушителей правил дорожного движения - водителей",219975
"Челябинская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",1172
